id,cipher_name,cipher_security
49271,TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,degraded
49272,TLS_ECDH_RSA_WITH_CAMELLIA_128_CBC_SHA256,insecure
49273,TLS_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384,insecure
49274,TLS_RSA_WITH_CAMELLIA_128_GCM_SHA256,insecure
49275,TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384,insecure
49276,TLS_DHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,degraded
49277,TLS_DHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,degraded
49278,TLS_DH_RSA_WITH_CAMELLIA_128_GCM_SHA256,insecure
49279,TLS_DH_RSA_WITH_CAMELLIA_256_GCM_SHA384,insecure
49280,TLS_DHE_DSS_WITH_CAMELLIA_128_GCM_SHA256,insecure
49281,TLS_DHE_DSS_WITH_CAMELLIA_256_GCM_SHA384,insecure
49282,TLS_DH_DSS_WITH_CAMELLIA_128_GCM_SHA256,insecure
49283,TLS_DH_DSS_WITH_CAMELLIA_256_GCM_SHA384,insecure
49284,TLS_DH_anon_WITH_CAMELLIA_128_GCM_SHA256,insecure
49285,TLS_DH_anon_WITH_CAMELLIA_256_GCM_SHA384,insecure
49286,TLS_ECDHE_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,degraded
49287,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,degraded
49288,TLS_ECDH_ECDSA_WITH_CAMELLIA_128_GCM_SHA256,insecure
49289,TLS_ECDH_ECDSA_WITH_CAMELLIA_256_GCM_SHA384,insecure
49290,TLS_ECDHE_RSA_WITH_CAMELLIA_128_GCM_SHA256,degraded
49291,TLS_ECDHE_RSA_WITH_CAMELLIA_256_GCM_SHA384,degraded
49292,TLS_ECDH_RSA_WITH_CAMELLIA_128_GCM_SHA256,insecure
49293,TLS_ECDH_RSA_WITH_CAMELLIA_256_GCM_SHA384,insecure
